,test,predict,difference,amountWrong
0,1,1.0,0.0,5506
1,2,1.0,1.0,5506
2,1,1.0,0.0,5506
3,1,1.0,0.0,5506
4,1,1.0,0.0,5506
5,1,1.0,0.0,5506
6,1,1.0,0.0,5506
7,1,1.0,0.0,5506
8,1,1.0,0.0,5506
9,1,1.0,0.0,5506
10,1,1.0,0.0,5506
11,1,1.0,0.0,5506
12,1,1.0,0.0,5506
13,1,1.0,0.0,5506
14,2,1.0,1.0,5506
15,1,1.0,0.0,5506
16,1,1.0,0.0,5506
17,1,1.0,0.0,5506
18,1,1.0,0.0,5506
19,1,1.0,0.0,5506
20,2,1.0,1.0,5506
21,1,1.0,0.0,5506
22,1,1.0,0.0,5506
23,1,1.0,0.0,5506
24,1,1.0,0.0,5506
25,2,1.0,1.0,5506
26,1,1.0,0.0,5506
27,1,1.0,0.0,5506
28,1,1.0,0.0,5506
29,1,1.0,0.0,5506
30,2,1.0,1.0,5506
31,1,1.0,0.0,5506
32,1,1.0,0.0,5506
33,1,1.0,0.0,5506
34,1,1.0,0.0,5506
35,2,1.0,1.0,5506
36,1,1.0,0.0,5506
37,1,1.0,0.0,5506
38,1,1.0,0.0,5506
39,1,1.0,0.0,5506
40,1,1.0,0.0,5506
41,1,1.0,0.0,5506
42,1,1.0,0.0,5506
43,1,1.0,0.0,5506
44,1,1.0,0.0,5506
45,1,1.0,0.0,5506
46,1,1.0,0.0,5506
47,1,1.0,0.0,5506
48,1,1.0,0.0,5506
49,1,1.0,0.0,5506
50,2,1.0,1.0,5506
51,1,1.0,0.0,5506
52,1,1.0,0.0,5506
53,1,1.0,0.0,5506
54,1,1.0,0.0,5506
55,1,1.0,0.0,5506
56,1,1.0,0.0,5506
57,1,1.0,0.0,5506
58,1,1.0,0.0,5506
59,1,1.0,0.0,5506
60,2,1.0,1.0,5506
61,1,1.0,0.0,5506
62,1,1.0,0.0,5506
63,1,1.0,0.0,5506
64,1,1.0,0.0,5506
65,2,1.0,1.0,5506
66,3,1.0,2.0,5506
67,1,1.0,0.0,5506
68,1,1.0,0.0,5506
69,1,1.0,0.0,5506
70,1,1.0,0.0,5506
71,1,1.0,0.0,5506
72,1,1.0,0.0,5506
73,1,1.0,0.0,5506
74,1,1.0,0.0,5506
75,1,1.0,0.0,5506
76,1,1.0,0.0,5506
77,1,1.0,0.0,5506
78,1,1.0,0.0,5506
79,1,1.0,0.0,5506
80,1,1.0,0.0,5506
81,1,1.0,0.0,5506
82,1,1.0,0.0,5506
83,1,1.0,0.0,5506
84,1,1.0,0.0,5506
85,1,1.0,0.0,5506
86,1,1.0,0.0,5506
87,1,1.0,0.0,5506
88,2,1.0,1.0,5506
89,1,1.0,0.0,5506
90,1,1.0,0.0,5506
91,1,1.0,0.0,5506
92,4,1.0,3.0,5506
93,1,1.0,0.0,5506
94,2,1.0,1.0,5506
95,1,1.0,0.0,5506
96,1,1.0,0.0,5506
97,1,1.0,0.0,5506
98,1,1.0,0.0,5506
99,1,1.0,0.0,5506
100,1,1.0,0.0,5506
101,1,1.0,0.0,5506
102,2,1.0,1.0,5506
103,2,1.0,1.0,5506
104,1,1.0,0.0,5506
105,1,1.0,0.0,5506
106,1,1.0,0.0,5506
107,1,1.0,0.0,5506
108,1,1.0,0.0,5506
109,1,1.0,0.0,5506
110,1,1.0,0.0,5506
111,1,1.0,0.0,5506
112,1,1.0,0.0,5506
113,1,1.0,0.0,5506
114,1,1.0,0.0,5506
115,1,1.0,0.0,5506
116,1,1.0,0.0,5506
117,1,1.0,0.0,5506
118,1,1.0,0.0,5506
119,1,1.0,0.0,5506
120,1,1.0,0.0,5506
121,1,1.0,0.0,5506
122,1,1.0,0.0,5506
123,1,1.0,0.0,5506
124,1,1.0,0.0,5506
125,1,1.0,0.0,5506
126,1,1.0,0.0,5506
127,1,1.0,0.0,5506
128,1,1.0,0.0,5506
129,1,1.0,0.0,5506
130,1,1.0,0.0,5506
131,1,1.0,0.0,5506
132,1,1.0,0.0,5506
133,1,1.0,0.0,5506
134,1,1.0,0.0,5506
135,1,1.0,0.0,5506
136,2,1.0,1.0,5506
137,1,1.0,0.0,5506
138,1,1.0,0.0,5506
139,1,1.0,0.0,5506
140,1,1.0,0.0,5506
141,1,1.0,0.0,5506
142,1,1.0,0.0,5506
143,1,1.0,0.0,5506
144,1,1.0,0.0,5506
145,1,1.0,0.0,5506
146,1,1.0,0.0,5506
147,1,1.0,0.0,5506
148,1,1.0,0.0,5506
149,1,1.0,0.0,5506
150,1,1.0,0.0,5506
151,1,1.0,0.0,5506
152,1,1.0,0.0,5506
153,1,1.0,0.0,5506
154,1,1.0,0.0,5506
155,1,1.0,0.0,5506
156,1,1.0,0.0,5506
157,1,1.0,0.0,5506
158,1,1.0,0.0,5506
159,1,1.0,0.0,5506
160,1,1.0,0.0,5506
161,2,1.0,1.0,5506
162,1,1.0,0.0,5506
163,1,1.0,0.0,5506
164,1,1.0,0.0,5506
165,1,1.0,0.0,5506
166,2,1.0,1.0,5506
167,1,1.0,0.0,5506
168,1,1.0,0.0,5506
169,2,1.0,1.0,5506
170,1,1.0,0.0,5506
171,1,1.0,0.0,5506
172,2,1.0,1.0,5506
173,1,1.0,0.0,5506
174,1,1.0,0.0,5506
175,1,1.0,0.0,5506
176,1,1.0,0.0,5506
177,2,1.0,1.0,5506
178,1,1.0,0.0,5506
179,1,1.0,0.0,5506
180,1,1.0,0.0,5506
181,1,1.0,0.0,5506
182,1,1.0,0.0,5506
183,1,1.0,0.0,5506
184,1,1.0,0.0,5506
185,1,1.0,0.0,5506
186,1,1.0,0.0,5506
187,1,1.0,0.0,5506
188,1,1.0,0.0,5506
189,1,1.0,0.0,5506
190,1,1.0,0.0,5506
191,1,1.0,0.0,5506
192,1,1.0,0.0,5506
193,1,1.0,0.0,5506
194,1,1.0,0.0,5506
195,2,1.0,1.0,5506
196,1,1.0,0.0,5506
197,1,1.0,0.0,5506
198,1,1.0,0.0,5506
199,2,1.0,1.0,5506
200,1,1.0,0.0,5506
201,1,1.0,0.0,5506
202,1,1.0,0.0,5506
203,1,1.0,0.0,5506
204,1,1.0,0.0,5506
205,1,1.0,0.0,5506
206,1,1.0,0.0,5506
207,1,1.0,0.0,5506
208,1,1.0,0.0,5506
209,1,1.0,0.0,5506
210,1,1.0,0.0,5506
211,2,1.0,1.0,5506
212,1,1.0,0.0,5506
213,1,1.0,0.0,5506
214,1,1.0,0.0,5506
215,1,1.0,0.0,5506
216,1,1.0,0.0,5506
217,1,1.0,0.0,5506
218,1,1.0,0.0,5506
219,1,1.0,0.0,5506
220,1,1.0,0.0,5506
221,1,1.0,0.0,5506
222,1,1.0,0.0,5506
223,1,1.0,0.0,5506
224,1,1.0,0.0,5506
225,1,1.0,0.0,5506
226,1,1.0,0.0,5506
227,1,1.0,0.0,5506
228,1,1.0,0.0,5506
229,1,1.0,0.0,5506
230,1,1.0,0.0,5506
231,2,1.0,1.0,5506
232,1,1.0,0.0,5506
233,1,1.0,0.0,5506
234,1,1.0,0.0,5506
235,1,1.0,0.0,5506
236,1,1.0,0.0,5506
237,1,1.0,0.0,5506
238,1,1.0,0.0,5506
239,1,1.0,0.0,5506
240,1,1.0,0.0,5506
241,1,1.0,0.0,5506
242,1,1.0,0.0,5506
243,1,1.0,0.0,5506
244,1,1.0,0.0,5506
245,1,1.0,0.0,5506
246,1,1.0,0.0,5506
247,2,1.0,1.0,5506
248,1,1.0,0.0,5506
249,1,1.0,0.0,5506
250,1,1.0,0.0,5506
251,1,1.0,0.0,5506
252,1,1.0,0.0,5506
253,1,1.0,0.0,5506
254,1,1.0,0.0,5506
255,1,1.0,0.0,5506
256,1,1.0,0.0,5506
257,1,1.0,0.0,5506
258,1,1.0,0.0,5506
259,1,1.0,0.0,5506
260,1,1.0,0.0,5506
261,1,1.0,0.0,5506
262,1,1.0,0.0,5506
263,1,1.0,0.0,5506
264,1,1.0,0.0,5506
265,1,1.0,0.0,5506
266,1,1.0,0.0,5506
267,1,1.0,0.0,5506
268,1,1.0,0.0,5506
269,1,1.0,0.0,5506
270,1,1.0,0.0,5506
271,1,1.0,0.0,5506
272,1,1.0,0.0,5506
273,1,1.0,0.0,5506
274,1,1.0,0.0,5506
275,2,1.0,1.0,5506
276,1,1.0,0.0,5506
277,1,1.0,0.0,5506
278,1,1.0,0.0,5506
279,1,1.0,0.0,5506
280,1,1.0,0.0,5506
281,2,1.0,1.0,5506
282,1,1.0,0.0,5506
283,1,1.0,0.0,5506
284,1,1.0,0.0,5506
285,1,1.0,0.0,5506
286,2,1.0,1.0,5506
287,1,1.0,0.0,5506
288,1,1.0,0.0,5506
289,1,1.0,0.0,5506
290,1,1.0,0.0,5506
291,1,1.0,0.0,5506
292,1,1.0,0.0,5506
293,1,1.0,0.0,5506
294,1,1.0,0.0,5506
295,2,1.0,1.0,5506
296,2,1.0,1.0,5506
297,1,1.0,0.0,5506
298,1,1.0,0.0,5506
299,1,1.0,0.0,5506
300,1,1.0,0.0,5506
301,1,1.0,0.0,5506
302,1,1.0,0.0,5506
303,2,1.0,1.0,5506
304,1,1.0,0.0,5506
305,1,1.0,0.0,5506
306,1,1.0,0.0,5506
307,2,1.0,1.0,5506
308,1,1.0,0.0,5506
309,1,1.0,0.0,5506
310,1,1.0,0.0,5506
311,1,1.0,0.0,5506
312,1,1.0,0.0,5506
313,1,1.0,0.0,5506
314,2,1.0,1.0,5506
315,1,1.0,0.0,5506
316,1,1.0,0.0,5506
317,2,1.0,1.0,5506
318,1,1.0,0.0,5506
319,1,1.0,0.0,5506
320,1,1.0,0.0,5506
321,1,1.0,0.0,5506
322,1,1.0,0.0,5506
323,2,1.0,1.0,5506
324,1,1.0,0.0,5506
325,1,1.0,0.0,5506
326,1,1.0,0.0,5506
327,1,1.0,0.0,5506
328,1,1.0,0.0,5506
329,1,1.0,0.0,5506
330,1,1.0,0.0,5506
331,1,1.0,0.0,5506
332,1,1.0,0.0,5506
333,1,1.0,0.0,5506
334,1,1.0,0.0,5506
335,1,1.0,0.0,5506
336,1,1.0,0.0,5506
337,1,1.0,0.0,5506
338,1,1.0,0.0,5506
339,1,1.0,0.0,5506
340,1,1.0,0.0,5506
341,1,1.0,0.0,5506
342,1,1.0,0.0,5506
343,2,1.0,1.0,5506
344,1,1.0,0.0,5506
345,1,1.0,0.0,5506
346,1,1.0,0.0,5506
347,1,1.0,0.0,5506
348,1,1.0,0.0,5506
349,1,1.0,0.0,5506
350,1,1.0,0.0,5506
351,1,1.0,0.0,5506
352,1,1.0,0.0,5506
353,1,1.0,0.0,5506
354,1,1.0,0.0,5506
355,2,1.0,1.0,5506
356,1,1.0,0.0,5506
357,1,1.0,0.0,5506
358,1,1.0,0.0,5506
359,1,1.0,0.0,5506
360,1,1.0,0.0,5506
361,2,1.0,1.0,5506
362,1,1.0,0.0,5506
363,1,1.0,0.0,5506
364,2,1.0,1.0,5506
365,1,1.0,0.0,5506
366,1,1.0,0.0,5506
367,1,1.0,0.0,5506
368,1,1.0,0.0,5506
369,1,1.0,0.0,5506
370,2,1.0,1.0,5506
371,1,1.0,0.0,5506
372,1,1.0,0.0,5506
373,1,1.0,0.0,5506
374,1,1.0,0.0,5506
375,1,1.0,0.0,5506
376,1,1.0,0.0,5506
377,1,1.0,0.0,5506
378,2,1.0,1.0,5506
379,1,1.0,0.0,5506
380,1,1.0,0.0,5506
381,1,1.0,0.0,5506
382,1,1.0,0.0,5506
383,1,1.0,0.0,5506
384,1,1.0,0.0,5506
385,1,1.0,0.0,5506
386,1,1.0,0.0,5506
387,1,1.0,0.0,5506
388,1,1.0,0.0,5506
389,2,1.0,1.0,5506
390,2,1.0,1.0,5506
391,1,1.0,0.0,5506
392,3,1.0,2.0,5506
393,1,1.0,0.0,5506
394,1,1.0,0.0,5506
395,1,1.0,0.0,5506
396,1,1.0,0.0,5506
397,1,1.0,0.0,5506
398,2,1.0,1.0,5506
399,1,1.0,0.0,5506
400,1,1.0,0.0,5506
401,1,1.0,0.0,5506
402,1,1.0,0.0,5506
403,2,1.0,1.0,5506
404,1,1.0,0.0,5506
405,1,1.0,0.0,5506
406,1,1.0,0.0,5506
407,2,1.0,1.0,5506
408,1,1.0,0.0,5506
409,1,1.0,0.0,5506
410,1,1.0,0.0,5506
411,1,1.0,0.0,5506
412,1,1.0,0.0,5506
413,1,1.0,0.0,5506
414,1,1.0,0.0,5506
415,2,1.0,1.0,5506
416,1,1.0,0.0,5506
417,1,1.0,0.0,5506
418,1,1.0,0.0,5506
419,1,1.0,0.0,5506
420,2,1.0,1.0,5506
421,1,1.0,0.0,5506
422,1,1.0,0.0,5506
423,1,1.0,0.0,5506
424,1,1.0,0.0,5506
425,1,1.0,0.0,5506
426,1,1.0,0.0,5506
427,1,1.0,0.0,5506
428,1,1.0,0.0,5506
429,1,1.0,0.0,5506
430,1,1.0,0.0,5506
431,1,1.0,0.0,5506
432,1,1.0,0.0,5506
